family,size,iter,CSR,CA,file
CodeLlama,34B,0,70.11494252873564,22.60536398467433,/data/hassan/java2rust-automated-migration/results/javarusttrans/iterations/first-pass/ragcat-rules-gptsummary/CodeLlama-34b-Instruct-hf.jsonl
CodeLlama,7B,0,61.49425287356321,14.942528735632186,/data/hassan/java2rust-automated-migration/results/javarusttrans/iterations/first-pass/ragcat-rules-gptsummary/CodeLlama-7b-Instruct-hf.jsonl
Deepseek-Coder,33B,0,18.96551724137931,10.344827586206897,/data/hassan/java2rust-automated-migration/results/javarusttrans/iterations/first-pass/ragcat-rules-gptsummary/Deepseek-Coder-33b-Instruct.jsonl
Deepseek-Coder,6.7B,0,77.96934865900383,42.337164750957854,/data/hassan/java2rust-automated-migration/results/javarusttrans/iterations/first-pass/ragcat-rules-gptsummary/Deepseek-Coder-6.7b-Instruct.jsonl
Qwen2.5-Coder,14B,0,84.48275862068965,70.6896551724138,/data/hassan/java2rust-automated-migration/results/javarusttrans/iterations/first-pass/ragcat-rules-gptsummary/Qwen2.5-Coder-14B-Instruct.jsonl
Qwen2.5-Coder,32B,0,84.48275862068965,73.75478927203065,/data/hassan/java2rust-automated-migration/results/javarusttrans/iterations/first-pass/ragcat-rules-gptsummary/Qwen2.5-Coder-32B-Instruct.jsonl
Qwen2.5-Coder,7B,0,72.79693486590038,52.68199233716475,/data/hassan/java2rust-automated-migration/results/javarusttrans/iterations/first-pass/ragcat-rules-gptsummary/Qwen2.5-Coder-7B-Instruct.jsonl
CodeLlama,34B,1,74.52107279693486,24.137931034482758,/data/hassan/java2rust-automated-migration/results/javarusttrans/iterations/second-pass/ragcat-rules-gptsummary/CodeLlama-34b-Instruct-hf.jsonl
CodeLlama,7B,1,65.51724137931035,15.32567049808429,/data/hassan/java2rust-automated-migration/results/javarusttrans/iterations/second-pass/ragcat-rules-gptsummary/CodeLlama-7b-Instruct-hf.jsonl
Deepseek-Coder,33B,1,24.71264367816092,12.835249042145595,/data/hassan/java2rust-automated-migration/results/javarusttrans/iterations/second-pass/ragcat-rules-gptsummary/Deepseek-Coder-33b-Instruct.jsonl
Deepseek-Coder,6.7B,1,84.86590038314176,45.01915708812261,/data/hassan/java2rust-automated-migration/results/javarusttrans/iterations/second-pass/ragcat-rules-gptsummary/Deepseek-Coder-6.7b-Instruct.jsonl
Qwen2.5-Coder,14B,1,88.69731800766284,73.18007662835248,/data/hassan/java2rust-automated-migration/results/javarusttrans/iterations/second-pass/ragcat-rules-gptsummary/Qwen2.5-Coder-14B-Instruct.jsonl
Qwen2.5-Coder,32B,1,87.35632183908046,75.86206896551724,/data/hassan/java2rust-automated-migration/results/javarusttrans/iterations/second-pass/ragcat-rules-gptsummary/Qwen2.5-Coder-32B-Instruct.jsonl
Qwen2.5-Coder,7B,1,79.50191570881226,56.13026819923371,/data/hassan/java2rust-automated-migration/results/javarusttrans/iterations/second-pass/ragcat-rules-gptsummary/Qwen2.5-Coder-7B-Instruct.jsonl
CodeLlama,34B,2,76.24521072796935,25.095785440613028,/data/hassan/java2rust-automated-migration/results/javarusttrans/iterations/third-pass/ragcat-rules-gptsummary/CodeLlama-34b-Instruct-hf.jsonl
CodeLlama,7B,2,67.43295019157088,15.708812260536398,/data/hassan/java2rust-automated-migration/results/javarusttrans/iterations/third-pass/ragcat-rules-gptsummary/CodeLlama-7b-Instruct-hf.jsonl
Deepseek-Coder,33B,2,30.45977011494253,13.601532567049809,/data/hassan/java2rust-automated-migration/results/javarusttrans/iterations/third-pass/ragcat-rules-gptsummary/Deepseek-Coder-33b-Instruct.jsonl
Deepseek-Coder,6.7B,2,87.35632183908046,45.593869731800766,/data/hassan/java2rust-automated-migration/results/javarusttrans/iterations/third-pass/ragcat-rules-gptsummary/Deepseek-Coder-6.7b-Instruct.jsonl
Qwen2.5-Coder,14B,2,89.65517241379311,73.37164750957854,/data/hassan/java2rust-automated-migration/results/javarusttrans/iterations/third-pass/ragcat-rules-gptsummary/Qwen2.5-Coder-14B-Instruct.jsonl
Qwen2.5-Coder,32B,2,87.93103448275862,75.86206896551724,/data/hassan/java2rust-automated-migration/results/javarusttrans/iterations/third-pass/ragcat-rules-gptsummary/Qwen2.5-Coder-32B-Instruct.jsonl
Qwen2.5-Coder,7B,2,81.80076628352491,57.47126436781609,/data/hassan/java2rust-automated-migration/results/javarusttrans/iterations/third-pass/ragcat-rules-gptsummary/Qwen2.5-Coder-7B-Instruct.jsonl
CodeLlama,34B,3,77.96934865900383,25.67049808429119,/data/hassan/java2rust-automated-migration/results/javarusttrans/iterations/fourth-pass/ragcat-rules-gptsummary/CodeLlama-34b-Instruct-hf.jsonl
CodeLlama,7B,3,68.00766283524904,15.900383141762454,/data/hassan/java2rust-automated-migration/results/javarusttrans/iterations/fourth-pass/ragcat-rules-gptsummary/CodeLlama-7b-Instruct-hf.jsonl
